STARTUP,ASSUNTO,RESUMO
Bit Capital,FINTECH ,A Bit Capital é uma plataforma de OpenBanking baseada blockchain que provê infraestrutura bancária para outros players desenvolverem próprios produtos e seus serviços financeiros através de APIs.
Blu Pay,FINTECH ,"A BluPay cria soluções financeiras para empresas, permitindo que estabelecimentos se tornem pontos de arrecadação, expandindo as opções de pagamento de faturas para locais como lojas, lanchonetes e padarias, oferecendo velocidade, economia e segurança."
Capacita,FINTECH ,"A CapacitaMPE é composta por 16 micro e pequenos negócios, todos consultores do Sebrae, oferecendo 200 vídeo aulas em 30 temas de gestão, com questionários de cadastro. O conteúdo é desenvolvido pelos especialistas, gerando estatísticas sobre o perfil do aluno e permitindo personalização do cadastro."
Carbonzero,SUSTAINABILITY ,"Com a  tecnologia da Carbonzero, a barreira da distância física é reduzida por meio de ambientes 4D, disponibilizados via browser."
Cashbanx,FINTECH ,"Geramos valor para o cliente no formato de Cashback e também para o Banco TakeRate. Em uma parceria como BRB Nação BRBFla, o cliente terá a opção de doar seu cashback para o Flamengo criando uma nova fonte de receita para o Clube."
Cashway,FINTECH ,Usando os serviços de nuvem e ferramentas mais para otimizar seus investimentos e reduzir o tempo de ir ao mercado e complexidade
Comdono,FINTECH ,"Desenvolvemos uma plataforma para proprietários de imóveis venderem suas propriedades de forma centrada no cliente, incluindo validação documental e estratégias de marketing. Também oferecemos soluções para incorporadoras, incluindo estratégias digitais de lançamento e qualificação de leads, com comissões pelas vendas concluídas."
Datarisk,CYBERSEGURANÇA,"Buscamos democratizar a ciência de dados e aprendizado de máquina para superar a escassez de habilidades e custos elevados, fornecendo consultoria em áreas estratégicas como crédito, fraude e retenção."
Fligoo,FINTECH ,Usamos modelos preditivos proprietários avançados para os bancos ajudar a aumentar as vendas por personalizar ofertas de  necessidade produtos com a de cada indivíduo e reduzir o atrito do cliente aproveitando dados para identificar o risco e propensão de um cliente revolto.
Flowfinance,FINTECH ,"Fornecemos uma solução de fintech como serviço que abrange tudo, desde o processo de integração até a emissão de dívidas e financiamentos, permitindo a criação de produtos de crédito personalizados."
